id	user_id	issuance_date	return_date	actual_return_date	body	percent
1	31	11.01.2020	25.01.2020	23.04.2021	4500	32535
2	19	12.01.2020	26.01.2020	30.08.2020	4500	16537.5
3	22	20.01.2020	03.02.2020	23.11.2020	1500	7245
4	97	28.01.2020	11.02.2020	08.06.2020	5000	10950
5	37	13.02.2020	27.02.2020	10.03.2021	4000	24300
6	121	17.02.2020	02.03.2020	11.08.2021	1000	8325
7	151	23.02.2020	08.03.2020	23.08.2021	1000	8415
8	96	25.02.2020	10.03.2020	16.04.2021	2500	16125
9	197	27.02.2020	12.03.2020	11.09.2021	4500	38880
10	157	01.03.2020	15.03.2020	25.03.2020	1500	855
11	167	03.03.2020	17.03.2020	21.07.2021	1000	7785
12	104	04.03.2020	18.03.2020	06.10.2020	2500	8625
13	200	04.03.2020	18.03.2020	12.08.2020	2000	5250
14	116	09.03.2020	23.03.2020	27.04.2021	1000	6420
15	66	10.03.2020	24.03.2020	20.10.2020	3500	12495
16	206	14.03.2020	28.03.2020		4000	53040
17	261	14.03.2020	28.03.2020	09.08.2020	2500	6075
18	74	17.03.2020	31.03.2020	17.05.2021	4000	26400
19	153	23.03.2020	06.04.2020	20.06.2020	3500	5407.5
20	230	23.03.2020	06.04.2020	23.04.2020	2500	1687.5
21	68	25.03.2020	08.04.2020	08.07.2021	2500	18150
22	145	25.03.2020	08.04.2020	19.07.2020	500	975
23	68	26.03.2020	09.04.2020	25.04.2021	500	3067.5
24	317	28.03.2020	11.04.2020	05.04.2021	3500	20317.5
25	303	29.03.2020	12.04.2020	13.04.2020	2500	1087.5
26	319	29.03.2020	12.04.2020	26.11.2020	3000	11520
27	185	30.03.2020	13.04.2020	22.09.2020	2500	7125
28	246	30.03.2020	13.04.2020	27.06.2020	4500	6952.5
29	322	30.03.2020	13.04.2020	05.09.2021	1500	12105
30	329	31.03.2020	14.04.2020	02.04.2021	2500	14287.5
31	275	02.04.2020	16.04.2020	29.05.2021	2000	13080
32	294	02.04.2020	16.04.2020	23.09.2021	500	4147.5
33	309	05.04.2020	19.04.2020	06.09.2020	500	1260
34	199	09.04.2020	23.04.2020		1000	12870
35	352	11.04.2020	25.04.2020	01.09.2021	2000	15660
36	25	12.04.2020	26.04.2020	18.04.2021	5000	28875
37	122	12.04.2020	26.04.2020	15.11.2020	1000	3465
38	355	12.04.2020	26.04.2020	23.04.2020	1000	420
39	363	12.04.2020	26.04.2020	20.04.2021	4000	23220
40	171	13.04.2020	27.04.2020	10.11.2021	1500	13275
41	190	17.04.2020	01.05.2020	19.05.2021	4000	24660
42	300	17.04.2020	01.05.2020	17.04.2021	2500	14212.5
43	337	17.04.2020	01.05.2020	23.05.2020	3500	2625
44	13	18.04.2020	02.05.2020	14.10.2021	4000	33480
45	40	18.04.2020	02.05.2020	26.08.2020	2000	4320
46	184	19.04.2020	03.05.2020		2500	31800
47	174	20.04.2020	04.05.2020	14.08.2020	4000	7800
