id	credit_id	payment_date	type_id	sum
1	2	14.01.2020	2	1837.50
2	3	23.01.2020	1	136.36
3	1	26.01.2020	2	2033.44
4	4	29.01.2020	1	555.56
5	4	02.02.2020	1	555.56
6	4	02.02.2020	1	555.56
7	2	09.02.2020	2	1837.50
8	4	09.02.2020	2	912.50
9	4	11.02.2020	2	912.50
10	3	12.02.2020	2	226.41
11	4	12.02.2020	1	555.56
12	4	12.02.2020	1	555.56
13	4	13.02.2020	1	555.56
14	4	14.02.2020	2	912.50
15	2	15.02.2020	1	750.00
16	6	17.02.2020	1	41.67
17	3	20.02.2020	1	136.36
18	3	20.02.2020	2	226.41
19	6	25.02.2020	1	41.67
20	1	27.02.2020	2	2033.44
21	3	27.02.2020	2	226.41
22	5	28.02.2020	1	166.67
23	5	01.03.2020	2	506.25
24	10	01.03.2020	1	1500.00
25	3	02.03.2020	2	226.41
26	7	02.03.2020	1	52.63
27	4	04.03.2020	2	912.50
28	6	04.03.2020	2	148.66
29	9	05.03.2020	2	3240.00
30	2	06.03.2020	2	1837.50
31	4	06.03.2020	1	555.56
32	3	07.03.2020	2	226.41
33	5	07.03.2020	1	166.67
34	1	09.03.2020	2	2033.44
35	2	09.03.2020	1	750.00
36	3	09.03.2020	2	226.41
37	4	09.03.2020	1	555.56
38	4	10.03.2020	2	912.50
39	7	10.03.2020	1	52.63
40	13	10.03.2020	1	250.00
41	13	10.03.2020	1	250.00
42	14	10.03.2020	1	45.45
43	14	10.03.2020	1	45.45
44	10	11.03.2020	2	855.00
45	14	11.03.2020	1	45.45
46	1	12.03.2020	2	2033.44
47	2	12.03.2020	2	1837.50
48	3	12.03.2020	1	136.36
49	3	13.03.2020	2	226.41
50	14	13.03.2020	2	168.95
51	5	14.03.2020	1	166.67
52	6	14.03.2020	1	41.67
53	4	15.03.2020	2	912.50
54	17	16.03.2020	2	1518.75
55	6	17.03.2020	2	148.66
56	9	17.03.2020	2	3240.00
57	3	18.03.2020	2	226.41
58	2	19.03.2020	2	1837.50
59	18	19.03.2020	2	713.51
60	15	20.03.2020	1	700.00
61	15	20.03.2020	2	2082.50
62	18	20.03.2020	1	160.00
63	18	20.03.2020	2	713.51
64	2	21.03.2020	1	750.00
65	2	21.03.2020	2	1837.50
66	4	21.03.2020	2	912.50
67	11	21.03.2020	2	189.88
68	18	21.03.2020	2	713.51
69	15	23.03.2020	1	700.00
70	19	24.03.2020	2	901.25
71	17	25.03.2020	1	500.00
72	18	25.03.2020	2	713.51
73	22	25.03.2020	2	65.00
74	3	26.03.2020	2	226.41
75	7	26.03.2020	2	525.94
76	22	26.03.2020	2	65.00
77	12	27.03.2020	2	862.50
78	18	27.03.2020	2	713.51
79	6	28.03.2020	2	148.66
80	8	28.03.2020	1	250.00
81	21	28.03.2020	1	125.00
82	17	30.03.2020	2	1518.75
83	23	30.03.2020	1	250.00
84	3	31.03.2020	1	136.36
85	5	31.03.2020	2	506.25
86	30	31.03.2020	2	1298.86
87	27	01.04.2020	2	296.88
88	6	02.04.2020	2	148.66
89	6	03.04.2020	2	148.66
90	21	03.04.2020	1	125.00
91	4	04.04.2020	1	555.56
92	16	04.04.2020	2	534.65
93	19	04.04.2020	2	901.25
94	24	04.04.2020	2	634.92
95	25	04.04.2020	2	271.88
96	32	04.04.2020	2	148.13
97	6	05.04.2020	2	148.66
98	25	05.04.2020	2	271.88
99	24	06.04.2020	2	634.92
100	30	07.04.2020	1	833.33
101	16	08.04.2020	1	1.10
102	18	08.04.2020	2	713.51
103	20	08.04.2020	1	2500.00
